timestamp,machine_id,output_units,defect_units,temperature,energy_kwh,downtime_min
2026-04-01 08:00:00,M-101,120,2,68,14.5,5
2026-04-01 09:00:00,M-102,115,1,70,13.8,4
2026-04-01 10:00:00,M-103,95,8,82,16.2,15
2026-04-01 11:00:00,M-101,125,1,67,14.1,3
2026-04-01 12:00:00,M-102,118,2,71,13.9,5
2026-04-01 13:00:00,M-103,90,10,85,17.0,20
2026-04-01 14:00:00,M-101,130,1,66,14.0,2
2026-04-01 15:00:00,M-102,117,2,72,14.2,6
2026-04-01 16:00:00,M-103,88,9,84,16.8,18
2026-04-01 17:00:00,M-101,128,1,67,14.3,3
